instance,region,score
c6in.12xlarge,ap-southeast-1,0.0427355899453706
m8g.metal-48xl,eu-central-1,0.042735485945357796
c7g.16xlarge,ap-northeast-1,0.04264929461616618
m7i.metal-24xl,ap-southeast-2,0.042647679457110954
r7a.48xlarge,eu-central-1,0.04249866254136609
m5dn.metal,eu-central-1,0.042487164229592325
r6id.24xlarge,ap-northeast-1,0.04228959599671215
x2iedn.2xlarge,us-east-2,0.04210105077303399
r7i.48xlarge,ap-south-1,0.042048692099186984
r6g.12xlarge,eu-west-2,0.04193666432160109
m7a.metal-48xl,us-east-2,0.04176512260910319
m4.16xlarge,eu-west-2,0.04160209513419227
m6a.metal,us-west-1,0.04150032726996171
c5n.9xlarge,eu-west-1,0.0414469665322407
c7gn.4xlarge,eu-west-1,0.04135355009449854
r6id.32xlarge,ap-northeast-1,0.04132356211406017
r7i.24xlarge,eu-west-2,0.04123942986717517
r6idn.12xlarge,us-east-2,0.04080751117359858
c6id.12xlarge,ca-central-1,0.04071720990395126
m6idn.4xlarge,eu-central-1,0.040683595359336557
r7i.metal-24xl,ap-northeast-1,0.04068040078300113
m6idn.32xlarge,eu-west-1,0.04065221332967079
r5b.4xlarge,ca-central-1,0.04061345129470018
m6in.2xlarge,ap-northeast-1,0.0406051369764052
c7gd.8xlarge,eu-west-1,0.040513229954369304
m8g.24xlarge,eu-central-1,0.04021785957996953
m6i.16xlarge,us-west-2,0.04011925155394439
r8g.12xlarge,us-west-2,0.03999902918829397
g6e.8xlarge,us-east-1,0.03992819950950334
c7a.24xlarge,eu-north-1,0.039906338733927786
m6gd.8xlarge,us-east-1,0.03981788118773639
c6gd.metal,ca-central-1,0.039641927975394196
d3en.12xlarge,ap-southeast-2,0.039557567293767144
r5b.8xlarge,ap-southeast-1,0.03954627528940427
r6id.metal,ap-northeast-1,0.03943741125881723
c7gn.16xlarge,us-east-1,0.039371467256691856
m7gd.metal,ap-northeast-1,0.03919120681606425
r6i.metal,eu-west-3,0.03908629759879443
m5dn.8xlarge,us-east-1,0.03890580751061547
c6in.xlarge,eu-central-1,0.03889713947177125
r6id.metal,eu-central-1,0.03889567380689104
is4gen.4xlarge,us-east-1,0.03884029469265804
x2idn.32xlarge,ap-southeast-1,0.038662481072951636
c7g.metal,ap-southeast-1,0.038650918950456074
r6idn.24xlarge,eu-central-1,0.038634110410678386
r5d.24xlarge,us-west-1,0.038485917278547034
c7gn.metal,us-west-2,0.03823367964519129
c7gn.8xlarge,us-east-2,0.038227186562453504
m5.24xlarge,ap-southeast-2,0.038143040993610204
r7i.12xlarge,ap-northeast-1,0.03797511083819712
i3en.metal,eu-central-1,0.03790105409003425
is4gen.large,eu-west-3,0.03790105409003425
i4i.24xlarge,us-west-1,0.03755509020699832
m7i.metal-24xl,sa-east-1,0.03742266162504567
m5ad.4xlarge,ap-northeast-1,0.03736846740004927
r5dn.metal,eu-west-1,0.03736387936352594
m7a.32xlarge,ap-northeast-1,0.03728277461847522
